Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
"Sr. Officer/ Officer, Engineering",https://jobs.bdjobs.com/jobdetails.asp?id=1357327&fcatId=5&ln=1,US FDA Approved Leading Pharmaceuticals Company,Gazipur,B. Sc in EEE / Mechanical Engineering from any reputed university.,2 to 5 year(s),26-Apr-25,"Ensuring the maintenance work for production machinery at Solid Dose.

Ensuring day-to-day activities of engineering departments, planning and organizing of departmental workforces for smooth operation.

Ensure implementation scheduled maintenance of all machinery in time with a view to uninterrupted operation of production.

Ensure breakdown maintenance with proper documentation.

Ensure completion of audit related jobs i.e. Machine maintenance, calibration, Validation document and record as per schedule with a view to meet audit compliance. 

Maintenance and troubleshooting of computerized system of proceed machines.

Ensuring the available spares in Engineering Store for reducing breakdown time.  Age at most 35 years
PLC knowledge.

GMP knowledge.

Computer basic knowledge"
Deputy Chief Engineer (Electrical & Utility),https://jobs.bdjobs.com/jobdetails.asp?id=1357258&fcatId=5&ln=1,Bangladesh Development Group/ Magura Group,Dhamrai,Bachelor in Engineering (BEngg) in Electronics Diploma in Electronics in Electrical & Electronic...,8 to 12 year(s),08-May-25,"paper industries Drawing, Design, Layout and installation of all electric and utility activities.
Ensure availability of required materials and spare parts for uninterrupted power supply.
Ensure effective operations and preventive-corrective measurement of all electric equipment’s including: Substation of 33KVA & 11KVA, 120 TPD MITSUBISHI m/c, Mineral Paper m/c, AC& DC motor, drives, panel boards, PLCs, compressor, chiller, lighting etc.
Draw single line diagram as per BNBC / FSCD / ACCORD/ALLIANCE and others international compliance standard.
Power distribution system for point wiring (Cable size / Circuit diagram, Power distribution Board layout and BBT etc.),
Supervise the installation of substation, LT, HT, Switchgear, PFI, MDB, SDB etc.
Coordinate with the production, utility, mechanical and others concern departments /units for optimize energy consumption.
Improve automation process (SCADA operations MITSUBISHI) and green energy to enhance energy efficiency and system reliability.
Take prompt and effective action to resolve critical troubleshooting of generator, boiler, air compressor, pumps, REB, TITAS gas distribution and transmission, and ACs etc.
Maintain job cards for records of break downs, root cause analysis, corrective measurements for future references.  
Maintain OHS (Occupational Health and Safety) measurements of the workstation.
Prepare daily management report: power consumption, critical equipment / critical spare parts status, others activities etc.
Overall lead the Electric & Utility department, overseeing all technical and administrative functions of the department.
Perform others assigned duties as required."
Project Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1357049&fcatId=5&ln=1,SA Enterprise,"Rajshahi, Rangpur",Candidate should be Minimum Diploma in Civil Engineering from any reputed Institute (Public),At least 2 year(s),30-Apr-25,Project Engineer 
Civil Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1357236&fcatId=5&ln=1,Praasad Group of Companies,Dhaka,Diploma in Engineering in Civil EngineeringBachelor of Science (BSc) in Civil Engineering,7 to 10 year(s),30-Apr-25,"Prepare work schedule and estimate of materials as well as cost of materials as per market price properly.
Understand the civil construction works and the basic interior decoration works. e.g. ground labelling, soil testing, digital survey, concrete foundation, building construction, special knowledge on finishing works, handling of large construction project etc.
Site monitoring and supervision of contraction works and day to day construction activities.
Ensure wastage control during work and stocked materials at site.
Coordinate with purchase and procurement department to ensure proper inventory of all stocked materials at site.
Prepare progressive report of construction works under concerned project weekly / daily basis.
Assist site Engineer of the projects and keep all records at head office and site office and oversee the records at site regularly.
Verify contractor bills, prepare its actual statement after / actual measurements.
Ensure safety and security at site.
Maintain and manage of site staff, meeting with clients.
Time to time compare the actual work done as per design & plan and take necessary actions to maintain the work schedule.
Frequently travel to outside of Dhaka.
Any other structural design related duties assigned by the Management."
Jr. Instructor / Instructor - Civil Technology,https://jobs.bdjobs.com/jobdetails.asp?id=1357215&fcatId=5&ln=1,Greenland Group.,Demra Staff Quarter,Diploma / B.Sc in Civil Engineering (from a recognized institute),1 to 2 year(s),15-May-25,"Teacher education
Teaching Experience
Teaching Skills"
Site Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1357050&fcatId=5&ln=1,SA Enterprise,"Rajshahi, Rangpur",Candidate should be Minimum Diploma in Civil Engineering from any reputed Institute (Public),2 to 5 year(s),30-Apr-25,"Site Engineer Site experience in heavy Civil/ Infrastructure projects.
Computer knowledge must MS Excel .
AutoCAD , Drawing Study Quality .
Candidate should have intension to travel anywhere in the Bangladesh or overseas for relevant purpose Prepare Sub Contractor Bill (Manual & EXCEL) &, Site Materials Estimate (Manual & EXCEL) & Requisition and work timetables.

Interpret and explain contracts and technical information to other professionals.

Report work progress and budget matters to reporting Engineer.

Collaborate with Govt. architects, engineers, and other construction specialists

Select subcontractors and schedule and coordinate their activities

Respond to work delays, emergencies, and other problems

Comply with legal requirements, building and safety codes, and other regulations

Monitoring construction activities to maintain system reliability.

Ensuring construction installation matches drawings and specifications.

Communicating daily with project stakeholders about project status, and issues that impact scope, schedule, quality, and cost.

Monitoring contractor productivity and efficiency to ensure work completed within established budgets and schedules.

Accepting material deliveries and tracking material delivery status.

Maintaining good communication and relationships with Owners, engineers and contractors.

Providing professional customer service and timely response to inquiries.

Tracking project changes for scope and cost; creating Requests for Information (RFI's).

Maintaining project punch list.

Maintaining records of past and present projects to facilitate lessons learned.

Working with management to maintain contractor relationships for future projects.
"
Assistant: Manager (Sales),https://jobs.bdjobs.com/jobdetails.asp?id=1356603&fcatId=5&ln=1,Biomax International,Anywhere in Bangladesh,Bachelor of Arts (BA)Bachelor of Science (BSc) in Electrical & Electronic...,2 to 3 year(s),13-May-25,"Clinical
Hospital
Hospital management
Product Promotion"
AC Technician,https://jobs.bdjobs.com/jobdetails.asp?id=1357017&fcatId=5&ln=1,Ice world electronics,Mirpur,Diploma in Engineering,3 to 5 year(s),29-Apr-25,"Age 18 to 40 years
Repairing experience (1.5 ton to 5 ton)
Repairing estimating capability (5 ton to 130 ton capacity)
Freshers are not allowed. Installing, maintaining and repairing ventilation and air conditioning systems and equipment.
AC indoor/Out Door down servicing.
Faulty compressor identification.
Gas leakage repairing.
Inverter AC PCB fault finding, Vacuum cleaning.
Gas charging.
Ceiling, split, window, cassata AC
Air Conditioner Cleaning, adjusting, repairing, and performing warranty services."
Project Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1357065&fcatId=5&ln=1,Green Dot Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Electrical & Electronic EngineeringDiploma in Engineering in...,4 to 5 year(s),15-May-25,"We are seeking a highly motivated and experienced Project Manager – Electrical Engineer to lead and oversee electrical engineering projects from concept to completion. This role involves managing multidisciplinary teams, ensuring compliance with technical standards, budgeting, and maintaining project timelines. The ideal candidate will have a strong background in electrical engineering, excellent project management skills, and the ability to drive results in a fast-paced environment. Providing everyday technical and logistics support to operations and maintenance, execution of project Electrical work.
Expert in MEP designs, drawings, documentation, including layout plans, schematics and specifications according to the project Standards (House wiring, Substation)
Skilled in computer and in-depth knowledge of relevant software (MS Office, AutoCAD 2D/3D).
Excellent communication skills to work with teams and expert to maintain authority.
Supervised and Coordinate to electrical team to execution ongoing project.
Maintain the VRF ongoing systems, air-cooled system, Fire Protection and detection system in different project.
To know excellent time management and logical decision-making ability when work under pressure.
"
"Executive, Compliance",https://jobs.bdjobs.com/jobdetails.asp?id=1355630&fcatId=5&ln=1,Cityscape International Ltd,GULSHAN 1,Bachelor’s degree in Electrical & Electronic Engineering (EEE) or a relevant field.,At least 1 year(s),09-May-25,"Minimum 1 year of relevant experience in a compliance role. Must have experience working in a group of companies.  Strong understanding of government regulations and ISO compliance.
Experience with documentation, policy/SOP writing, and compliance audits.
Proactive and detail-oriented with excellent organizational skills.
Proficient in MS Office tools and capable of learning new software.
Hardworking, reliable, and maintains strong work ethics. Strong communication and team coordination skills. "
Freelance Plant Engineer / Procurement Partner (Commission-Based),https://jobs.bdjobs.com/jobdetails.asp?id=1356981&fcatId=5&ln=1,GreenTech Venture,Anywhere in Bangladesh,N/A,Na,14-May-25,"Communication
communication skill
Excellent communication skill
Good communication skills"
Senior Project Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1356860&fcatId=5&ln=1,Bangladesh Bondhu Foundation (BONDHU),"Bagerhat, Barguna, Khulna, Pirojpur, Satkhira",Bachelor of Science (BSc) in Civil EngineeringDiploma in Civil,3 to 7 year(s),13-May-25,"Civil
Civil Construction"
Sales Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355763&fcatId=5&ln=1,Quantam Group,Mohakhali,B. Sc in Civil Engineering,At least 3 year(s),10-May-25,"Should be responsible for all sales and marketing of Civil, Pre-engineered steel building system and related steel building materials.

Establishing and maintaining good relationship with clients.

Expand new market area and increase sales volume.

Deliver excellent sales and after sales services to maximize sales, customer satisfaction and achieve performance target.

Should be proactive to achieve monthly/yearly sales target.

Managing the entire product line life cycle from strategic planning to tactical activities.

Arrange seminars for association and corporate clients.

Frequently visit corporate clients, communicate with various dealers, suppliers, distributors and contractors.

You have maintain a sales target which is fixed by marketing department.

You have to maintain and prepare estimation, quotation and others supporting documents.

You have to prepare all document/papers after receiving requirements from clients.

Any other tasks assigned by the management time to time."
Structural Design Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1356048&fcatId=5&ln=1,GPH Ispat Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Civil Engineering,Na,10-May-25,"Preparation Structural Design and analysis for buildings
Conduct Structural integrity assessments for existing structures
Preparation Design report, BOQ/ Cost estimation, technical Specification
Support Project Team during construction for Technical Classifications and Site Supervisors
Sound Understanding of Design Codes: BNBC, ACI, ASCE etc. AutoCAD
ETABS
Staad Pro"
Repairing Technician (Industrial Electronics),https://jobs.bdjobs.com/jobdetails.asp?id=1356615&fcatId=5&ln=1,Multipurpose Engineering & Industrial Automation,DUET Sub Post Office,Bachelor of Science (BSc) in Electrical & Electronic EngineeringHSC/Diploma/B.SC...,At least 2 year(s),30-Apr-25,"Basic Electronics
Electric Repairing
Electrical repairing
Electronic Equipment Maintenance
Electronics
Electronics item research and development
Industrial Automation
PLC and Automation"
Auto Cad Operator,https://jobs.bdjobs.com/jobdetails.asp?id=1356026&fcatId=5&ln=1,GPH Ispat Limited,Anywhere in Bangladesh,Diploma in Civil,3 to 6 year(s),10-May-25,"Adobe Photoshop
Autocad 2d
MICROSOFT OFFICE"
Industrial Engineering,https://jobs.bdjobs.com/jobdetails.asp?id=1356411&fcatId=5&ln=1,KYROS FOOTWEAR INDUSTRIES LIMITED,Anywhere in Bangladesh,N/A,Na,30-Apr-25,"Line Capacity Study.

Find out bottleneck operation.

To ensure optimum use of Man, Machine & Material

Line Balancing.

Implement new methods for the increase in productivity (Renovation/ Innovation).

Costing Productivity.

Style Evaluation.

Operation Bulletin makes (SEW EASY).

To calculate the CM cost.

Budget Make based on bulletin SMV.

Target Setup based on the bulletin.

Daily production Report.

Line WIP Follow-up.

Daily Efficiency Reports.

Monthly Efficiency Reports.

To Prepare Skill Matrix.

Worker Recruit as per skill test.

Non-Productivity Time (NPT) Record.

Hourly production monitoring.

Employee production Incentive report monitoring and approval of the incentive amount.

Research and development for samples before production start. 

The candidate needs to audit the factory and lines to ensure the operation bulletin and line layout are followed by a line supervisor.
"
Sr. Sales and Service Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1356468&fcatId=5&ln=1,BIOHEALTH INTERNATIONAL LTD. A CONERN OF JOY & 3 STARS PVT LTD,Dhaka,Bachelor of Science (BSc) in Electrical & Electronic EngineeringBSc in EEE/ETE/Bio Medical...,At least 3 year(s),10-May-25,Sales & Marketing
Executive/Sr. Executive (Sales & Service),https://jobs.bdjobs.com/jobdetails.asp?id=1356008&fcatId=5&ln=1,Sarban Import Limited,Dhaka,Bachelor of Science (BSc) in Electrical & Electronic EngineeringMaster of Science (MSc),At least 3 year(s),12-May-25,"Dynamic and self motivated individuals     
Capable to do Marketing and Sales in Medical and Pharmaceutical Sector."
Executive/Jr. Executive (Sales and Marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1356472&fcatId=5&ln=1,BIOHEALTH INTERNATIONAL LTD. A CONERN OF JOY & 3 STARS PVT LTD,Dhaka,Diploma in EngineeringDiploma Engineering/Equivalent from a reputed Polytechnic Institute.,Na,10-May-25,"We are proud Distributor of HORIBA, SD-BIOSENSOR, PerkinElmer, BIOTA, MENARINE, NORMAN

Sales & Marketing"
Senior Site Engineer (Electrical),https://jobs.bdjobs.com/jobdetails.asp?id=1356704&fcatId=5&ln=1,Life Insurance PLC.,Dhaka,Diploma in Electrical,At least 15 year(s),13-May-25,"Age 40 to 42 years
Must have total of 15 years in construction work out of which minimum 10 years must be in Multi-storied Building.
Must have clear conception & experience in all Electrical tems/ Works applicable to Double Basement Multi-storied Building.
Should have experience in Estimating and preparation of Bill of Quantities (BOQ) for
Electrical Items as per Architectural & Structural Drawings. Estimating and preparation of Bill of Quantities (BOQ) for Electrical Items as per Architectural & Structural Design."
"Electrical & Electronics, Engineer",https://jobs.bdjobs.com/jobdetails.asp?id=1356678&fcatId=5&ln=1,A Well Established 100% Export Oriented Frozen Shrimp Processing Plant,Chattogram,Bachelor of Science (BSc)BSC Electronic & Electric in Engineering OR BSC Mechanical in...,3 to 5 year(s),20-Apr-25,"Age at most 35 years
Must have knowledge in industrial machinery.
Good analytical and communication skill.
Hard worker & able to work under pressure.
Willing to work for long time in this area.
Sound knowledge in computer applications and internet.
Preference will give to Chittagong based candidates. Candidates who are dynamic, self-committed, hardworking, quick learner and able to work independently are encouraged to apply. To run and maintain the engineering department of a seafood processing plant."
Management Trainee,https://jobs.bdjobs.com/jobdetails.asp?id=1356091&fcatId=5&ln=1,Texhub Sourcing Ltd,DOHS Mirpur,Bachelor of Science (BSc) in Textile TechnologyGraduate in textile from BUFT or Santa Mariam,Na,10-May-25,Textiles & Garments Maintaining
Injection Moulding and Extruder Machine Technician / Engineer (Shifting Duty),https://jobs.bdjobs.com/jobdetails.asp?id=1356487&fcatId=5&ln=1,Libra Group of Companies,Mirpur,Diploma in Mechanical Engineer specialized in Injection Moulding / Plastic Extruder Machine for...,10 to 15 year(s),22-Apr-25,"Age at least 30 years
The Incumbent should have technical mastering of Injection Moulding / Extrusion Machine along with a Production and Control experience of all sorts of Injection / Extruder which will be used for manufacturing Extruded Product for Medical purpose.
 Ability to communicate and collaborate effectively across functions and with customers.
 Ability to research problems, develop solutions and present possible solutions for implementation.
 Ability to work successfully under pressure of Target time limit and frequent changes to a heavy workload.
 Ability to work with outside vendors. 
 Minimum 15 years’ experience in handling Production and maintenance of Injection Moulding and Extrusion Machine.
 Software based knowledge is a MUST.
Educational Qualification : Diploma in Mechanical / Industrial Engineering. We are looking for a qualified and highly experienced Technician / Engineer who has got 7-10 years operational and maintenance experience for Injection Moulding and Extruder Machine used for making Pleastic Medical Devices Products. The Incumbent should have a solid experience for operation, maintenance and all sorts of Injection Moulding and Extruder Machine which will be used for the Medical purposes and have in-hand experience.
The Incumbent must have a thorough knowledge in the Control side of Injection Moulding and Electronic Extruder Moulding Machine."
Junior Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1356517&fcatId=5&ln=1,Rangamati Motors,Dhaka,Graduates in any discipleEngineering Grads/ Diploma,Na,12-May-25,"To look after general office works.
To provide Customer Service."
"Manager/Sr. Manager - Sales (Cummins Generator), Chattogram",https://jobs.bdjobs.com/jobdetails.asp?id=1356424&fcatId=5&ln=1,Jakson International Limited,Chattogram,N/A,8 to 12 year(s),30-Apr-25,"In-depth knowledge of generators.
Dynamic & Smart leader and able to work with the team.
Strong analytical & leadership ability and work as a strategic thinker.
Positive work ethic and result-oriented for assigned responsibilities.
Knowledge of principles and methods for promoting and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.
Updated Knowledge of customer demand, market condition, market penetration, segmentation, and pricing.
The incumbent should have at least 8 years of work experience in Generator Sales with a similar industry. Excellent communication skill
Generators or sub stationary department
Negotiation Skills
Relationship Marketing
Team Leadership
Technical Skills
"
Project Engineer/Site Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1356459&fcatId=5&ln=1,GM Holdings Limited,Dhaka,Bachelor of Science (BSc) in Civil Engineering,2 to 5 year(s),12-May-25,Real Estate
Jr. Officer (IPE),https://jobs.bdjobs.com/jobdetails.asp?id=1356428&fcatId=5&ln=1,Sonic (Bangladesh) Limited,Nilphamari,"Bachelor in Industrial and Production Engineering (B.Sc. in IPE).Lean Manufacturing, Quality...",1 to 2 year(s),12-May-25,"5s Management
Emotional Intelligence
Fluent in written and spoken Bengali-English.
Good communication skills
Industrial & Production Engineering
Leadership and teamwork
Lean Management
MS Word Excel PowerPoint
Positive mindset for fieldwork
Time Management skills"
Electrical Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355190&fcatId=5&ln=1,"GOODWOOD(DHAKA) CO., LTD",Mirsharai,Diploma degree,At least 2 year(s),08-May-25,"Proficient in using various office software such as AUTOCAD WORD
Strong sense of responsibility and excellent communication skills
Need to know maintenance
Will be trained in China  Responsible for guiding the construction and commissioning of weak current in fire engineering or daily management of fire maintenance
Capable of assisting project managers in completing ongoing fire protection projects and familiar with various fire protection regulations and requirements"
Industrial Project Consultant / Advisor,https://jobs.bdjobs.com/jobdetails.asp?id=1356325&fcatId=5&ln=1,GreenTech Venture,Anywhere in Bangladesh,N/A,At least 10 year(s),12-May-25,"Minimum 10+ years of hands-on industrial experience in a specific field (e.g., manufacturing systems, automation, process engineering, etc.).
Proven track record in successful project execution or industrial plant setup.
In-depth knowledge of industry regulations, machinery, systems, and best practices.
Strong analytical, problem-solving, and communication skills.
Ability to work independently and collaboratively in a startup-style or entrepreneurial environment. We are seeking a highly experienced and results-driven Industrial Project Technical Consultant/Advisor to join our venture on a profit-sharing basis. The ideal candidate will bring deep, specialized expertise in a specific industrial domain (e.g., manufacturing, automation, chemicals, food processing, RMG, textile, pharmaceuticals, plastic, paper, rubber, leather, cement, steel, renewable energy, power plant etc.) and play a crucial role in guiding the project from concept to execution. Provide end-to-end technical guidance for the project lifecycle, from ideation and planning to implementation and optimization.
Conduct feasibility studies, cost analysis, and risk assessments.
Help design and review project technical architecture, including layout, equipment selection, and process flows.
Identify cost-saving opportunities, improve efficiency, and ensure regulatory compliance.
Liaise with vendors, contractors, engineers, and stakeholders for technical coordination.
Participate in strategic decision-making and roadmap development.
Contribute actively to achieving project milestones and profit targets.
Share in the project's net profit, based on a pre-agreed structure."
Engineering Business Development Intern (Profit Share Basis),https://jobs.bdjobs.com/jobdetails.asp?id=1356392&fcatId=5&ln=1,GreenTech Venture,Anywhere in Bangladesh,Bachelor of Science (BSc) in Electrical & Electronic EngineeringBachelor of Science (BSc) in...,Na,12-May-25,"Passionate about industrial sales, fieldwork, and real-world business development.
Strong communication, interpersonal, and negotiation skills.
Comfortable with traveling for client visits (local/nearby regions).
Basic understanding of industrial machines, automation systems, or spare parts is a bonus.
Self-motivated, confident, and goal-oriented personality. We are a dynamic engineering services company providing tailored solutions in industrial automation, machinery repair, spare parts supply, and custom engineering. Our clients include manufacturers, plant managers, and maintenance heads across various sectors. We're looking for a proactive and energetic Business Development Intern who can help us expand our footprint and build strong industry relationships. Visit Industry Offices & Manufacturing Units: Personally meet decision-makers at factory floors, maintenance departments, and corporate offices.
Build New Business Relationships: Identify and connect with procurement managers, plant heads, and engineers.
Lead Generation & Follow-up: Generate, track, and nurture leads through cold visits, networking, and referrals.
Market Research: Understand industry needs, analyze competitors, and identify untapped opportunities.
Sales Support: Assist in preparing quotations, technical presentations, and service proposals.
Client Communication: Maintain regular contact with prospects and existing clients to ensure satisfaction and explore upselling opportunities.
CRM & Reporting: Log visits, calls, and opportunities into CRM systems and provide weekly updates to the management.
"
Full-Stack Software Developer for Microservice eCommerce Project,https://jobs.bdjobs.com/jobdetails.asp?id=1356372&fcatId=5&ln=1,Pakiza Fashion & Design,Vatara,Bachelor in Engineering (BEngg)Masters in Engineering (MEngg),5 to 10 year(s),12-May-25,"Age 24 to 40 years
PHP & Laravel: Strong proficiency in PHP, and extensive experience with the Laravel framework.

Frontend Development: Proficiency in JavaScript, particularly with frameworks like Next.js.

Microservices Architecture: Familiarity with microservice development tools and patterns.

Database Management: Strong knowledge of MySQL and database optimization techniques.

DevOps: Experience with CI/CD pipelines, Docker, Kubernetes, and cloud platforms (e.g., AWS, Azure).

Familiarity with other microservice tools like RabbitMQ, Kafka, or Redis for messaging and caching.

Experience with API Gateway and Authentication methods (OAuth, JWT).

Knowledge of cloud infrastructure and serverless architectures.

Version Control: Proficiency in Git for collaborative development.

Familiarity with Node.js for backend development

Experience with real-time systems like notifications, chatting, etc.

Strong problem-solving skills, a keen eye for detail, and ability to work in a fast-paced, collaborative environment. Develop and maintain microservices using Laravel.

Work with MySQL & MongoDB to design and optimize database schemas.

Build and maintain user interfaces using JavaScript and Next.js.

Familiar with DevOps, CI/CD, automated deployments, and monitoring.

Design scalable, secure, and efficient microservices architecture.

Ensure code quality, performance, and scalability of the eCommerce platform.

Work in an Agile environment, contributing to feature planning and implementation."
UX/UI Designer Intern,https://jobs.bdjobs.com/jobdetails.asp?id=1356189&fcatId=5&ln=1,Solution Provider,Tejgaon Industrial Area,N/A,Na,26-Apr-25,"Adobe XD
Figma
Sketch
UI and UX Design
UX Designer"
Civil Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1356364&fcatId=5&ln=1,Peninsula Group,Mymensingh,Diploma in Engineering in Civil Engineering,At least 2 year(s),12-May-25,"Plans, directs, and supervises all operations included in moderately-sized projects with moderate risk, complexity and financial impact.

Controls overall project cost and scope, schedule, and quality of work.

Provide detailed design (BoQ, drawings & documents) statement of work.

Structural design and review of all kind RCC and steel structure.

Preparing of Audit related Detail Drawing, Project Planning, and Monitoring on Implementation to Project.

Structural analysis of RCC and Steel Structure associated with residential and industrial buildings.

Prepare and check construction materials supplies on time.

Check physical measurement and bill of construction materials.

Check the rod placing and shuttering work before commence any concreting work if necessary.

Design analysis of safe and economic infrastructure."
Architect/3D Visualizer,https://jobs.bdjobs.com/jobdetails.asp?id=1356315&fcatId=5&ln=1,Arcon Interior Consultancy,"Chattogram, Dhaka",Diploma in ArchitectureBachelor of Architecture (B.Arch),2 to 3 year(s),30-Apr-25,"3D Studio Max
Auto CAD 2D 3D
AutoCAD"
Junior Android Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1356302&fcatId=5&ln=1,Envobyte Ltd.,Khulna Sadar,N/A,At least 1 year(s),30-Apr-25,"Android application development
Android Studio
Firebase
Java
Kotlin
native android
REST API
SQLite"
Deputy Manager / Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1356243&fcatId=5&ln=1,Multi Product Engineering Limited,DOHS Mirpur,Bachelor of Science (BSc) in Mechanical EngineeringBachelor of Science (BSc) in Electrical &...,5 to 8 year(s),12-May-25,"BMS
HVAC
Industrial Automation"
Project Coordinator,https://jobs.bdjobs.com/jobdetails.asp?id=1356266&fcatId=5&ln=1,Green Garden,"Bogura, Kutubdia",Diploma in Engineering in Electrical & Electronic Engineering,At least 2 year(s),12-May-25,"Electrical/ Electronics
Irrigation Management"
Mechanical Engineer(BSc Diploma),https://jobs.bdjobs.com/jobdetails.asp?id=1356287&fcatId=5&ln=1,M Jamal & Company Limited,Dhanmondi,Bachelor of Science (BSc) in Mechanical EngineeringDiploma in Engineering in Mechanical...,At least 5 year(s),19-Apr-25,"Building Construction"
Electric Engineer(BSc Diploma),https://jobs.bdjobs.com/jobdetails.asp?id=1356286&fcatId=5&ln=1,M Jamal & Company Limited,Dhanmondi,Bachelor of Science (BSc) in Electrical & Electronic EngineeringDiploma in Engineering in...,At least 5 year(s),19-Apr-25,"Building Construction"
Civil Engineer (BSc Diploma),https://jobs.bdjobs.com/jobdetails.asp?id=1356281&fcatId=5&ln=1,M Jamal & Company Limited,Dhanmondi,Bachelor of Science (BSc) in Civil EngineeringDiploma in Engineering in Civil Engineering,At least 5 year(s),19-Apr-25,"Building Construction"
Sales & Marketing Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1356065&fcatId=5&ln=1,Bio-Vitro Medical Equipment Services,"Barishal, Chattogram, Dhaka, Jashore, Mymensingh, Rangpur, Sylhet",Bachelor in any discipline. Diploma in Electro-Medical/EEE (Fresher and experience in Medical...,Na,25-Apr-25,"Age at most 35 years
Pharmaceuticals sales experienced candidate are encouraged to apply.

Both experienced and inexperienced candidates will be considered.

Experience in sales and marketing is preferred, but none is acceptable.

Strong management skills.

Strong attention to detail, ability to multi-task.

Excellent interpersonal skills with strong sales experience.

Must be able to travel. We need some young, energetic and challenge taking people who are looking for a job platform to build up a secured career where anyone can equally continue to make an impression and take the next position in Bio Vitro.

We are hiring an ambitious individual in the role of marketing officer to join with us who want to take the challenge of Medical Equipment Sales & Marketing General activities and performance of Sales Teams.

Achieve monthly, quarterly and yearly sales targets by using strategic sales plans.

Manage daily activities of sales staffs such as customer visits, follow-ups, sales calls, complaint handling, etc.

Maintain and build relationship with customers (both new and existing).

Analyze existing customers and new customers to determine sales opportunities.

Increase sales growth by expending market and sales volume.

Identify and liaise key persons/big account customers.

Monitor and improve sales team performance by closely work together with team members.

Responsible for branding, market expansion, achieving sales targets and strategic sales planning.

Responsible for planning and organizing of all the company related events including symposiums."
Lead Engineer / Senior Design Engineer - (Structural Design and Analysis),https://jobs.bdjobs.com/jobdetails.asp?id=1356153&fcatId=5&ln=1,KABL Associates & Builders Ltd.,Dakshinkhan,"Bachelor of Science (BSc) in Civil EngineeringB.Sc. in Civil Engineering (Preferably from BUET,...",10 to 20 year(s),11-May-25,"ACI Code
AutoCAD
ETABS
Familiar with BNBC 2020
Revit Architecture
Staad Pro
Structural Designing"
Executive-Automobile Workshop (RMG Factory),https://jobs.bdjobs.com/jobdetails.asp?id=1356229&fcatId=5&ln=1,Ananta Garments Limited,Ashulia,Bachelor of Science (BSc) in Automobile,3 to 5 year(s),12-May-25,"To perform routine maintenance and inspections on a variety of vehicles, including cars.
To diagnose and troubleshoot mechanical, electrical, and electronic issues in vehicles.
To conduct preventative maintenance measures to ensure the longevity and reliability of automotive systems.
To collaborate with the maintenance team to plan and execute scheduled service activities.
Keeping accurate records of maintenance work, repairs, and inspections performed on each vehicle.
To stay up-to-date with the latest automotive technologies and industry best practices."
Research & Innovation Engineer - EEE (AC),https://jobs.bdjobs.com/jobdetails.asp?id=1356156&fcatId=5&ln=1,Walton Hi-Tech Industries PLC.,Kaliakair,Bachelor of Science (BSc) in Electrical & Electronic EngineeringBSC in Electrical and Electronics...,2 to 5 year(s),19-Apr-25,"Electrical Electronics Design
Embedded Design
Motor Controller
PCB design
Product Development
"
Manager / Sr. Manager (Maintenance & Utility),https://jobs.bdjobs.com/jobdetails.asp?id=1356050&fcatId=5&ln=1,A Reputed Ceramic/Porcelain Manufacturing Industry,Habiganj,"Bachelor of Science (BSc) in Mechanical EngineeringBSc. Engineers (Mechanical), having minimum 7...",At least 7 year(s),09-May-25,"Age at most 50 years
The candidates should be capable to lead a professional Maintenance and Utility team effectively & efficiently. 
The candidates should have strong personality, proven leadership & trouble shooting skills 
The candidates should be self-motivated, hardworking and result oriented The selected candidate will lead the maintenance & utility team and will be responsible to ensure proper functioning and maintenance of all Mechanical and Electro-Mechanical appliances of the factory independently.
The candidate should have thorough practical knowledge on utility related works and maintenance work of Ceramic/Porcelain Industry related Machineries (including Ball Mill, Jigger, Casting, ISO, HPC, Firing Kilns, Generator, Boiler, Compressor etc.)"
